"","WT_t0_","WT_t0.5_","chl1_t0_","chl1_t0.5_"
"AT1G79660",9.43779586744429,10.2763843268995,9.48681345806113,9.88960376183415
"AT4G00416",2.97207461879744,5.06890441688404,3.00526477930206,3.41992539946784
"AT5G54380",8.05332877954435,9.09224949048759,7.95501631638698,9.00924522288557
"AT3G48990",11.0360485101908,11.8630654478786,11.1213020858623,11.4758539631532
"AT3G11370",5.21867969234006,7.77779974752126,5.32190498611654,7.86941619201899
"AT2G46550",8.23318165679631,7.58813225749461,8.28725245462629,7.61994789446613
"AT5G40470",7.45720125208853,8.81456566686715,7.5180829657422,8.39512738105215
"AT1G12580",6.60001359486126,7.7390373194659,6.63614479426144,7.5732108390191
"AT1G80310",8.59512421382274,9.50263020297576,8.6715281079805,9.04783989052619
"AT3G11580",5.79309947998677,7.05585903523617,5.65247206220294,6.9926200797644
"AT3G15300",8.84131927019608,7.90994175949373,8.75889688872101,8.00156184209177
"AT3G07340",6.50757973257951,8.0734138884915,6.4999927530599,7.56642524382761
"AT4G01250",5.60891934773774,7.66297498060002,5.69275624762186,7.95523987369214
"AT2G22500",9.49097963702066,11.594876652269,9.4135921989398,11.2160052284768
"AT1G29400",9.07220670258758,8.30039646419936,9.15055141160131,8.45437244107641
"AT4G37540",7.83053087292246,9.70353630233555,7.87835996750486,9.2100848317774
"AT3G05490",10.6814236274691,11.2232514980252,10.6440329960113,11.2609172794002
"AT5G55970",8.07357752003832,6.69494200240342,8.26897881730525,7.00961058773269
"AT2G16060",5.70557892789428,8.40175209487812,5.86444958542097,8.02853016015551
"AT4G24780",10.6284461045608,9.84320090167263,10.750620247739,10.1442590599513
"AT3G15355",6.85422297009859,6.28817811961288,6.92039261233478,6.51172261947687
"AT4G27260",8.26227985155489,7.6287400776564,8.22626927979609,7.72494065624911
"AT1G72150",10.9231077530498,11.5242574635631,10.84071406862,11.4824813166583
"AT1G53340",5.38330152226474,6.15925922054967,5.27946987208221,6.0800033649628
"AT5G26010",4.57041076601594,6.24518551140541,4.47928119820745,5.76561293681439
