"","WT_t0_R1","WT_t0_R2","WT_t0_R3","WT_t0.5_R1","WT_t0.5_R2","WT_t0.5_R3","chl1_t0_R1","chl1_t0_R2","chl1_t0_R3","chl1_t0.5_R1","chl1_t0.5_R2","chl1_t0.5_R3"
"AT3G26210",9.57001414826955,9.63866384178594,9.53073293784779,9.13196648654462,8.89234585737573,9.27636089623261,9.72050050744887,9.61563966228527,9.61218304833169,8.93916767470843,8.83925918689363,9.00035521338495
"AT5G05860",8.61661349193693,8.48462523922748,8.42055500002381,7.95944833703593,7.80001170850554,7.68703177528417,8.59382795604198,8.69330867457605,8.56618484193375,7.96960249192901,8.01544177064839,7.71581889052761
"AT5G67150",7.39838651265278,7.55294122511544,7.37830852123973,6.93102917559556,6.89042620140629,6.90141016520527,7.44695306140792,7.62992967172802,7.64452390829495,7.00994530066417,6.85190437073354,6.7913745656955
"AT2G17060",4.88130397884957,5.23425118127449,4.81134629821356,6.39087115342916,6.26599626134854,6.53180279969775,5.23258234872227,5.54102434213957,4.7403235853372,5.74196784420582,5.79603183955286,5.58210178773367
"AT1G56220",10.6826546325576,10.6721660357225,10.8005635904219,10.0080546534421,9.88483896052697,10.1891502153858,10.7718527630829,10.6485566634815,10.9621470513226,10.1466110818317,10.3023881959893,10.2542883328536
"AT5G54660",6.74912120705813,6.21599085537021,6.23132100304295,7.96776433496611,7.79207055084339,7.60769269205342,6.80284228548518,6.3606276914256,6.17739160483802,7.47952735200139,7.37170479355263,7.26396020824121
"AT4G22070",8.61003810132074,8.53574840685597,8.08522705779657,7.28064025074142,7.16738465858019,7.25166937922949,8.66605140664993,8.58325058199,8.09948611588644,7.52173360877274,7.55811790132539,7.41793764103872
"AT5G48175",6.34023640911568,6.45762033329886,6.28410924465577,5.49040119148764,5.24082660541086,5.75589874452792,6.66563378820317,6.44273165014455,6.71633443531904,5.88337882536912,5.75962364801927,5.47090048321015
"AT3G07470",9.39630794398289,9.55315009936798,9.43822199666111,10.1496953788147,10.3317418717364,10.4229348179016,9.43824047921807,9.37946874917094,9.53632435472528,9.94552718491471,10.2608960360891,10.2826219750475
"AT4G17080",8.66714041485631,8.75689292538732,8.7904010748404,7.9111673800459,7.78975699275547,7.63994178739058,8.57947655838732,8.87697231050664,8.88334082362121,8.23072394382098,8.28201358193773,7.85001029359439
"AT3G50910",8.604236809854,8.39842706750616,8.31453228148456,9.19090412366503,9.23593330390104,9.0552884400851,8.47541629993523,8.40664926643028,8.43747850748084,8.77502272596515,8.93057721096905,8.84122270933447
"AT2G04795",7.78865190271492,7.85383123909785,7.71722624055417,8.81425586660186,8.95014676284847,8.74437046857384,7.86973711635373,7.66237369394103,7.9812396003579,8.18160698352652,8.67569320067806,8.601235900039
"AT2G28110",9.74036078091403,9.49356017434528,9.76080290480737,8.53878225792767,8.60490076821922,9.03477299844699,9.79701838709114,9.58992886403883,9.8457698379982,9.17428305261396,9.10219686085728,9.27270502199547
"AT2G42070",7.52082230670899,7.33107378754118,7.660148832769,8.28725721852172,8.26447738886082,8.33292460180566,7.47620232855697,7.49874953937402,7.74223023923402,7.98500989819463,8.10877378410924,8.09491240842171
"AT4G34760",5.8206948395913,5.56669805951658,5.96860764149614,6.97399862419698,6.95694106947456,6.62880102666623,6.05696222475825,5.78049082578521,5.8436708132485,6.21991342931996,6.28220029541167,6.01673562521324
"AT5G20540",6.96865823968894,7.04916613265017,7.03464837258138,8.78654745195719,9.22813620145319,9.39593789643246,7.03705689959004,6.94200208809692,7.08222296921437,7.26994969851459,7.99017620090523,8.45814930830835
"AT5G08330",7.33010865910626,7.29882189253245,7.09969090427558,7.99729626462213,7.99356080709538,7.79062723849702,7.22482604941851,7.25952020354097,6.95939639632943,8.01410214318165,8.05110056126969,7.71441694466349
"AT4G38420",4.27483048659085,4.42814498359255,5.2133918548384,6.40064060831764,6.76357783050908,7.15572216447927,4.3592643401485,4.72523771218894,5.16748502857665,6.38299656317628,6.79829026387558,7.09023387801378
"AT3G11390",4.88324958136407,4.33910672760867,4.54590974823874,5.91096118948325,6.03371844596627,6.56854740763594,4.61703590155334,4.53026707653687,4.92547383391384,5.9013472708934,5.71337674499085,6.48793196110114
"AT5G62430",5.8010694257566,5.46983607531252,6.11187864245798,7.69203876846715,7.40110750338645,6.97389326104548,5.62981242835833,5.02441902961057,5.8010694257566,6.53347962879007,6.56638675960857,6.363321413969
"AT5G14760",4.60572206670633,5.34880167581652,4.81479543096513,7.5838593940457,8.68681599664246,7.99727488903861,5.04537186852335,5.49312120083665,5.64566847290809,6.51318698490937,7.90730138305628,7.86641761574843
"AT5G11930",7.50987731148168,7.74828650285652,7.49948368894326,6.59331261980548,6.24827967120301,6.02589830787967,7.45612615558826,7.67668766526294,7.72752970235088,6.9344368722639,6.756812402457,6.4299513379476
"AT4G05200",9.89514346342123,9.85762375460226,9.66819341895824,9.02701732790919,8.86213275133454,9.03692925650848,10.0384146563523,9.77625958556159,9.66561543156555,9.17717265149761,8.88315169306306,9.26086856573644
"AT5G03380",10.9545169687179,10.900031136251,10.7322851986981,11.6434640947623,11.724181261298,11.9422625220359,10.9226178433037,10.9772022103932,10.9341048102418,11.4199817549297,11.4870938737013,11.8443824700017
"AT4G36380",7.92804723837634,8.03804685403891,8.19031816060512,9.12086240504338,9.05262314856371,8.84133547362559,7.81879169213707,8.1306293578281,8.25716546341563,8.05969940853402,8.18419764772204,8.3303048189569
"AT3G05320",6.25564912477912,6.0228733210989,6.21358424427926,7.04409493751009,7.42692611515101,7.44553765994841,5.81993998896601,6.22522129102972,6.44480291607261,7.06845970424641,7.29589481116081,7.3141764448666
"AT1G55390",5.09634252218215,5.12600685051486,5.49246064891508,7.09465341512825,7.11298865810359,8.17511035941967,5.32882318389768,4.94050770989194,5.53287486279016,6.91315170009104,7.16137893972718,8.08968903639991
"AT3G16570",8.14773169946242,7.85207191541822,8.05826240473725,9.37257579531426,9.39566387969773,8.96324713938122,8.30758680952525,7.66339988664702,8.13299319100395,8.93764866979161,8.96157767035185,8.61893941976045
"AT1G18400",3.82660530530567,3.62409592501698,3.83142757373524,4.42298108239806,4.24993135617845,4.32923542732218,3.6909190853237,3.62771140395044,3.80651443138057,4.31181946991455,4.1273175041,4.24399366557848
"AT2G26820",6.43383266708635,6.79204978453647,6.13149521981609,8.20226199621341,8.28702397788596,7.8743256529928,6.38268366569228,7.17930010640234,6.58892504607044,7.42066781902492,7.86116494950816,7.39136804066051
"AT3G19030",10.1524303290524,10.6979898905024,10.4768584964258,11.5006817617053,11.7783005312891,11.6666716828965,10.3724205474426,10.689279283251,10.6103422551151,11.1961550886895,11.6760958256948,11.4908672503038
"AT1G76990",11.2623478342643,11.3392036019084,11.4631236991608,10.7986483835073,10.7325348749222,10.7240601450869,11.2755531641767,11.4201164499884,11.4031255167386,10.9493933494753,10.8008035293199,10.7347685607779
"AT1G19190",6.43358541620384,6.63372494046422,6.49152129666219,6.08434603638982,5.84130202503328,5.92069464018252,6.69255620519397,6.76814895478319,6.71262581006542,6.08968558548743,5.92370115924838,5.76996944439846
"AT1G21910",6.78296179651144,6.28812881426392,7.14118788207388,8.61626639957308,9.00536374501854,9.77839963618404,6.43803054520776,6.15392069270629,7.01589932833156,8.49408903993008,8.94972250002118,9.62593122184058
"AT5G49480",9.99472127403126,10.1489438883849,9.92484863681626,10.9832347790992,10.759462597697,10.8010448072812,10.1955816308285,10.1999703586044,9.86297193961246,10.4648518957006,10.3371844980072,10.5888950553697
"AT4G05150",11.2250070658146,10.9940275640561,11.1840313079844,10.5822797567171,10.4483922683531,10.6903821001891,11.2867598471026,11.1691345148185,11.2965769063553,10.7613942802954,10.8113252628151,10.8019007413429
"AT5G26920",10.408633318459,10.1777669827889,9.74016179521984,6.97484983942343,7.75266159281754,8.12901008808877,10.6317673989383,10.0822789396963,9.5916291802616,6.94918583700681,8.14953316678796,8.3070989929172
"AT1G19700",7.045857330532,7.13461507783203,7.09615441835293,6.39226505302278,5.98890556188194,5.93526580577754,7.15357281733106,7.39482703397982,7.31942388061062,6.44435336069047,6.57812842496935,6.03344909181651
"AT4G28190",7.02340434258416,6.88103773965411,7.0621291900593,7.66617059892038,8.14394822793048,8.11912010071695,6.71479778453386,6.95559363135461,6.8740316167186,7.56349132659769,7.83057758601965,7.86960238613971
"AT3G52950",8.27133408211387,8.05166517309836,8.13104710388175,9.03076486923191,9.31058517851884,9.46357244153972,8.05211526304677,8.16216126972355,8.39359037806373,8.61464268468583,8.77496865300146,8.98071488263444
"AT1G08880",10.0872543513609,10.06764368004,10.1704212507495,9.55284105378509,9.69511232296676,9.46284269392291,10.2748392822489,10.2115008222751,10.0794840219867,9.77021395732159,9.86753669105426,9.73702273199501
"AT3G54810",8.52771808537502,8.57683711519584,8.56635114826575,9.0211120004836,8.86512273646854,9.19995245259845,8.38673235300298,8.51600555984605,8.44934775350271,9.20100371512855,8.93788998036996,9.08137353783183
"AT1G52540",7.67261414323946,7.94565561877773,7.7390242920802,8.40895475444977,8.50939033154678,8.80014790884877,7.9025088709417,8.00112043326825,7.82237850399683,8.50447389299144,8.76452914131814,8.76101506284143
"AT1G10690",6.32782135291485,6.50451725221906,6.69055736251303,5.48595066531196,5.60591653884246,5.76920207429738,6.464571130401,6.53653709000655,6.36474168183669,5.53172470087263,5.75498001736332,6.00706605463767
"AT5G13420",10.6073548339768,10.9215379351633,10.9478588583228,11.7755448826271,11.9651801098931,11.9531970704902,10.6220716424263,10.9232552115478,10.9150099016163,11.3107618327066,11.7934376643445,11.6773639186715
"AT2G46620",9.03019620585136,8.82201602092438,9.05644781325233,9.84334546607236,10.2508753146368,10.1129072564178,8.94069492729695,8.9379664751449,9.05089052950528,9.18391483857417,9.60249792993924,9.56570234984227
"AT4G37790",7.80309825159363,7.53217155315866,7.53395785202114,8.59180395506572,8.68241207884503,8.15469307167803,7.98325598487374,7.72541032361622,7.65595683596607,8.60498177114166,8.78375244223797,8.51795676514189
"AT4G31470",7.47481301679992,7.63946400049471,7.51143052317593,6.89571409682174,7.11601109420073,6.82568707617327,7.36753049691249,7.66003281402552,7.27981613728302,6.67848784131163,6.9061981812876,6.60006415393665
"AT2G47460",7.04041812496638,7.13932025772968,6.90163597531149,6.16108680266306,6.2419011719588,5.82742287120241,6.94500816713482,7.00649507606932,6.95784397120903,6.35364236148037,6.16530313399129,5.77560476623094
"AT3G47520",9.91692489170769,9.92479118240605,9.93228561884565,10.4430031632024,10.5752659206562,10.4056004431096,9.91696999805534,9.94640483044836,9.80150985395857,10.3606606654089,10.2908173531769,10.133662286551
"AT4G33420",9.63938981485505,9.27041393745791,9.34669040698469,10.2947941031656,10.9194002009137,10.8041705497924,9.56608104773482,9.14803838683311,9.34904079617187,10.3760347816348,10.6892573655074,10.8747947345202
"AT5G49100",5.77084045419439,5.48922430966476,5.83355324271662,6.50556112745605,6.35029606888504,6.66752660133991,6.00550828088971,5.86214686452087,5.73966563023029,6.4107606963365,6.48238470504248,6.28059437177014
"AT1G77280",7.22048159502878,7.33532642935697,7.3313564498765,7.05457133598356,7.12593176331155,6.98356416008433,7.36728085945012,7.44491280543661,7.45376517426416,6.81472337319826,6.80530721492348,6.92559164413647
"AT1G67750",7.42646006782177,7.64154736433385,7.55579618776154,6.91288362065899,6.95088232982832,7.13089512287086,7.5218858737737,7.81492729909598,7.62348534874103,7.05499945784217,6.91890603370803,6.9128187954203
